DATE,TIME,STATION,PORT,MODEL,,,,,,,,
Wed Sep 5 2018,13:15:58,B,2,Test script 1,,,,,,,,
STATUS,TIME,V0,I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
00001,00125,04832,00657,00656,00656,00654,00654,00660,00667,00666,00664,00667
00001,00126,04844,00663,00664,00665,00665,00666,00666,00666,00666,00666,00666
00001,00127,04844,00666,00665,00666,00586,00586,00587,00585,00587,00587,00000
00001,00128,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00676
00001,00129,04844,00670,00669,00669,00676,00678,00676,00676,00676,00676,00676
00001,00130,04844,00676,00675,00675,00677,00674,00675,00674,00675,00676,00675
00001,00131,04848,00675,00674,00674,00674,00676,00588,00587,00586,00586,00587
00001,00132,04888,00586,00586,00587,00586,00588,00587,00587,00587,00588,00586
00001,00133,04888,00586,00000,00000,00000,00000,00000,00000,00000,00000,00000
00001,00134,05164,00000,00000,00311,00678,00659,00676,00676,00677,00678,00677
00001,00135,04852,00678,00578,00607,00678,00677,00430,00397,00512,00494,00494
00001,00136,04936,00485,00578,00677,00678,00679,00679,00406,00441,00488,00488
00001,00137,04936,00494,00499,00624,00678,00679,00679,00404,00417,00498,00498
00001,00138,04932,00495,00488,00538,00677,00678,00679,00680,00421,00427,00000
00001,00139,00032,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
00001,00140,04932,00512,00480,00491,00616,00677,00677,00678,00678,00407,00450
00001,00141,04936,00461,00485,00481,00485,00652,00676,00678,00677,00437,00416
00001,00142,04952,00402,00483,00479,00558,00508,00676,00676,00677,00679,00413
00001,00143,04972,00406,00485,00485,00478,00484,00547,00678,00678,00677,00680
00001,00144,04968,00404,00488,00495,00484,00000,00000,00000,00000,00000,00000
00001,00145,00000,00000,00000,00000,00000,00628,00465,00676,00678,00678,00678
00001,00146,04848,00680,00679,00678,00676,00677,00629,00424,00397,00407,00679
00001,00147,04848,00678,00602,00677,00677,00677,00678,00558,00409,00587,00450
00001,00148,04956,00451,00432,00490,00491,00490,00491,00489,00312,00490,00364
00001,00149,04936,00491,00490,00490,00488,00489,00490,00490,00491,00490,00490
00001,00150,04936,00490,00490,00490,00490,00490,00490,00490,00490,00491,00490
00001,00151,04936,00489,00491,00492,00490,00489,00490,00491,00489,00491,00488
00001,00152,04936,00491,00491,00490,00490,00490,00490,00490,00490,00490,00490
00001,00153,04936,00490,00489,00491,00490,00489,00490,00490,00490,00490,00490
00001,00154,04936,00491,00490,00492,00489,00490,00490,00491,00490,00490,00491
00001,00155,04936,00490,00489,00490,00490,00489,00491,00490,00490,00491,00490
00001,00156,04936,00490,00491,00491,00488,00489,00491,00490,00490,00488,00491
00001,00157,04936,00490,00490,00490,00490,00489,00490,00490,00491,00490,00490
00001,00158,04936,00490,00488,00490,00491,00490,00491,00490,00490,00491,00490
00001,00159,04936,00491,00489,00490,00488,00489,00489,00488,00489,00490,00490
00001,00160,04936,00490,00490,00491,00491,00490,00491,00491,00489,00490,00491
00001,00161,04936,00490,00489,00489,00490,00490,00489,00490,00491,00491,00490
00001,00162,04936,00491,00490,00300,00388,00444,00491,00416,00465,00474,00387
00001,00163,04956,00448,00490,00400,00464,00461,00462,00462,00458,00461,00461
00001,00164,04948,00461,00442,00376,00287,00286,00283,00491,00490,00490,00489
00001,00165,04936,00490,00425,00425,00324,00490,00355,00283,00376,00679,00678
00001,00166,04844,00678,00678,00679,00678,00675,00675,00675,00675,00281,00279
00001,00167,05008,00326,00325,00292,00295,00570,00415,00418,00415,00417,00410
00001,00168,04984,00384,00382,00380,00562,00524,00463,00364,00380,00452,00545
00001,00169,04908,00551,00353,00340,00397,00408,00410,00430,00364,00593,00518
00001,00170,04928,00509,00503,00505,00502,00500,00511,00498,00553,00257,00447
00001,00171,04920,00466,00676,00676,00675,00588,00587,00586,00586,00587,00587
00001,00172,04888,00586,00586,00586,00587,00587,00588,00587,00587,00587,00588
00001,00173,04888,00587,00586,00587,00589,00588,00586,00588,00587,00588,00587
00001,00174,04888,00586,00587,00587,00587,00586,00586,00588,00586,00587,00587
00001,00175,04888,00587,00587,00586,00588,00586,00586,00587,00585,00587,00585
00001,00176,04888,00588,00586,00588,00587,00587,00586,00585,00588,00587,00588
00001,00177,04888,00586,00586,00586,00587,00587,00586,00587,00588,00586,00586
00001,00178,04888,00588,00587,00587,00587,00587,00586,00586,00588,00587,00589
00001,00179,04888,00587,00586,00587,00586,00588,00587,00587,00588,00588,00587
00001,00180,04888,00587,00588,00585,00588,00587,00587,00587,00587,00586,00586
00001,00181,04888,00587,00588,00586,00586,00587,00587,00586,00587,00587,00587
00001,00182,04888,00587,00588,00586,00588,00587,00588,00588,00587,00586,00586
00001,00183,04888,00586,00586,00586,00587,00587,00585,00588,00588,00587,00587
00001,00184,04888,00587,00586,00586,00587,00588,00587,00587,00587,00587,00585
00001,00185,04884,00587,00587,00587,00586,00586,00586,00587,00585,00586,00587
00001,00186,04888,00586,00586,00586,00587,00588,00587,00587,00587,00588,00586
00001,00187,04888,00587,00586,00587,00588,00587,00586,00587,00586,00586,00587
00001,00188,04888,00586,00588,00587,00587,00586,00586,00587,00586,00587,00586
00001,00189,04888,00586,00586,00586,00587,00586,00588,00586,00586,00587,00587
00001,00190,04888,00586,00587,00587,00587,00587,00588,00586,00587,00587,00587
00001,00191,04888,00586,00586,00586,00587,00587,00586,00586,00588,00586,00587
00001,00192,04888,00587,00587,00587,00586,00587,00587,00587,00586,00587,00587
00001,00193,04888,00588,00587,00586,00586,00586,00587,00587,00588,00587,00587
00001,00194,04888,00587,00588,00586,00588,00587,00587,00587,00587,00587,00588
00001,00195,04884,00586,00587,00587,00586,00587,00587,00586,00588,00587,00587
00001,00196,04888,00587,00586,00586,00588,00586,00587,00587,00587,00587,00586
00001,00197,04888,00588,00587,00587,00586,00587,00586,00586,00587,00586,00587
00001,00198,04888,00588,00586,00587,00586,00587,00587,00588,00587,00587,00588
00001,00199,04888,00586,00587,00586,00587,00586,00586,00586,00587,00588,00588
00001,00200,04888,00586,00587,00587,00588,00586,00586,00588,00587,00586,00586
00001,00201,04888,00586,00588,00588,00587,00586,00588,00587,00586,00586,00585
00001,00202,04888,00587,00586,00586,00586,00587,00587,00587,00586,00587,00587
00001,00203,04884,00587,00588,00587,00586,00586,00588,00588,00588,00586,00586
00001,00204,04888,00586,00586,00587,00587,00588,00587,00586,00588,00586,00587
00001,00205,04888,00587,00587,00587,00587,00586,00586,00587,00588,00586,00587
00001,00206,04888,00586,00586,00587,00585,00587,00586,00587,00587,00588,00587
00001,00207,04884,00587,00586,00587,00586,00588,00587,00587,00586,00588,00586
00001,00208,04884,00587,00588,00588,00587,00587,00587,00588,00587,00588,00588
00001,00209,04888,00587,00588,00587,00586,00587,00586,00588,00586,00586,00588
